aadb,2=嗷嗷待哺
brvh,2=不容置喙
brvu,2=不忍直视
brvy,2=不容置疑
brxj,2=兵戎相见
brxk,2=包容性
brxq,2=不容小觑
bryi,2=不容易
bryj,2=不如意事常八九
bryu,2=不容有失
brzd,2=不忍卒读
brzm,2=白日做梦
bsbh,2=半死不活
bsbj,2=百思不解
bsbs,2=不三不四
bsbx,2=不死不休
bshg,2=不思悔改
bsjq,2=不思进取
bskb,2=白色恐怖
bsln,2=巴塞罗那
bsls,2=变色龙
bsny,2=波斯尼亚
bsrq,2=比死人多口气
bsuu,2=不算数
bsvk,2=不速之客
bswj,2=波斯湾
bswy,2=必死无疑
bsxb,2=不死心
btbj,2=半推半就
btbk,2=不吐不快
btbn,2=笨头笨脑
btby,2=不痛不痒
btdj,2=八抬大轿
btdl,2=白头到老
btdr,2=不同的人
btds,2=不太懂
btdu,2=不停的说
btef,2=半途而废
btfa,2=白头发
btfs,2=不同凡俗
btfx,2=不同凡响
bthc,2=不太好
bthl,2=冰糖葫芦
bthy,2=白天黑夜
btid,2=不同程度
btih,2=不提倡
btiu,2=不同程度上
btjm,2=不推荐
btkn,2=不太可能
btle,2=拜托了
btlj,2=不太了解
btlq,2=不听老人言，吃亏在眼前
btlu,2=遍体鳞伤
btlx,2=不太理想
btly,2=不听老人言
btmb,2=不太明白
btmk,2=半透明
btmr,2=悲天悯人
btqi,2=不太清楚
btqr,2=趵突泉
btrl,2=暴跳如雷
btti,2=扁桃体
bttk,2=抱头痛哭
bttw,2=暴殄天物
btuc,2=抱头鼠窜
btuh,2=遍体生寒
btuv,2=半桶水
btvi,2=不同之处
btvj,2=不同政见
btwg,2=白头翁
btxd,2=冰天雪地
btxi,2=不同寻常
btxl,2=白头偕老
btxy,2=波涛汹涌
btyb,2=不提也罢
btyi,2=不同意
btyj,2=悲痛欲绝
btyu,2=不同于
btyy,2=不太一样
buba,2=不是吧
bubl,2=百试百灵
bubs,2=半身不遂
bubu,2=半生不熟
bubx,2=不声不响
buby,2=比上不足，比下有余
bubz,2=比上不足
bufy,2=饱受非议
buhd,2=不识好歹
buhi,2=班师回朝
buhu,2=白山黑水
buhx,2=不识好人心
buid,2=不是吃素的
buiu,2=办事处
buix,2=杯水车薪
buja,2=备受煎熬
bujl,2=不胜酒力
bujx,2=避实就虚
bukh,2=宝山空回
bukl,2=百事可乐
bule,2=不说了
bulm,2=不识庐山真面目
bulu,2=逼上梁山
buml,2=不甚明了
buqf,2=不胜其烦
buqj,2=白手起家
buqx,2=冰释前嫌
burx,2=不胜荣幸
butj,2=不识抬举
buud,2=不是省油的灯
buuj,2=不失时机
buuw,2=不识时务
buvr,2=饱食终日
buvx,2=不时之需
buwm,2=榜上无名
buwt,2=不是问题
buwy,2=必输无疑
buxw,2=博士学位
buyb,2=不说也罢
buyg,2=不是一个
buyj,2=冰山一角
buym,2=榜上有名
buyp,2=不是鱼死，就是网破
buyv,2=背水一战
buyy,2=败事有余
bvbb,2=包治百病
bvbd,2=百战不殆
bvbh,2=百折不回
bvbj,2=不知不觉
bvbk,2=不折不扣
bvbl,2=保质保量
bvbn,2=百折不挠
bvbu,2=百战百胜
bvby,2=半遮半掩
bvdc,2=不知道
bvde,2=不值得
bvdl,2=不知道了
bvdm,2=不知道为什么
bvdn,2=不着调
bveb,2=不战而屈人之兵
bveu,2=不战而胜
bvfa,2=辩证法
bvgz,2=本职工作
bvhd,2=不知好歹
bvhj,2=不着痕迹
bvhx,2=屏住呼吸
bvhz,2=白纸黑字
bvih,2=扮猪吃老虎
bvii,2=不支持
bvjb,2=保证金
bvjl,2=不知就里
bvjq,2=避重就轻
bvjt,2=不知进退
bvkf,2=不置可否
bvli,2=不知廉耻
bvmk,2=不知名
bvnt,2=不撞南墙不回头
bvqe,2=不知其二
bvqi,2=保质期
bvqk,2=不知情
bvqm,2=不值钱
bvqr,2=不知其所以然
bvqt,2=不正确
bvqu,2=不知趣
bvqv,2=不知轻重
bvqx,2=不知去向
bvrf,2=班主任
bvrg,2=宾至如归
bvrw,2=不知肉味
bvsc,2=不知所措
bvsv,2=不知所终
bvsy,2=不知所云
bvtg,2=不折腾
bvth,2=不知天高地厚
bvtk,2=不中听
bvui,2=不只是
bvuq,2=不知深浅
bvus,2=不知生死
bvvd,2=必争之地
bvve,2=标志着
bvvf,2=不正之风
bvvj,2=伯仲之间
bvvv,2=不治之症
bvvz,2=不知者不罪
bvwh,2=不知为何
bvwv,2=不知为不知
bvxi,2=不知羞耻
bvxk,2=标志性
bvyb,2=不至于吧
bvyc,2=不止一次
bvyl,2=报之以李
bvyt,2=不值一提
bvyu,2=不值一哂
bvyv,2=白纸一张
bvyw,2=不值一文
bvyy,2=秉烛夜游
bvzv,2=敝帚自珍
bwbh,2=不温不火
bwbj,2=百闻不如一见
bwbw,2=不闻不问
bwcx,2=不枉此行
bwdk,2=不稳定
bwgx,2=不无关系
bwhu,2=不外乎
bwiw,2=别无长物
bwjj,2=百无禁忌
bwjy,2=保外就医
bwkv,2=不问可知
bwqr,2=包围圈
bwqb,2=不畏强暴
bwqj,2=博闻强记
bwqu,2=不畏权势
bwqv,2=博闻强识
bwrv,2=不为人知
bwsd,2=不为所动
bwsq,2=别无所求
bwtf,2=别无他法
bwtt,2=别无他途
bwtw,2=别无他物
bwvq,2=比武招亲
bwvy,2=不务正业
bwwa,2=布娃娃
bwwq,2=不为瓦全
bwwy,2=不为五斗米折腰
bwxz,2=别无选择
bwyg,2=霸王硬上弓
bwyu,2=百无一用是书生
bwyy,2=百无一用
bxaa,2=白雪皑皑
bxba,2=不行吧
bxbd,2=不许百姓点灯
bxbf,2=不修边幅
bxbj,2=不徐不疾
bxbk,2=白血病
bxbt,2=本乡本土
bxby,2=半信半疑
bxcm,2=冰雪聪明
bxcx,2=不虚此行
bxdc,2=博学多才
bxde,2=不晓得
bxdh,2=彪形大汉
bxdu,2=不想多说
bxdx,2=碧血丹心
bxeg,2=败兴而归
bxfa,2=变戏法
bxfu,2=不相符
bxgb,2=不惜工本
bxgd,2=兵行诡道
bxgh,2=八仙过海
bxgr,2=不习惯
bxgv,2=白雪公主
bxhj,2=不稀罕
bxhr,2=不喜欢
bxhx,2=不像话
bxif,2=不相称
bxiu,2=笔下超生
bxjh,2=抱薪救火
bxjj,2=悲喜交集
bxjp,2=步行街
bxle,2=不行了
bxlq,2=必先利其器
bxlw,2=本小利微
bxly,2=标新立异
bxma,2=不行吗
bxni,2=不像你
bxnu,2=屏息凝神
bxny,2=本性难移
bxpb,2=必需品
bxqi,2=保修期
bxqj,2=保险起见
bxqv,2=败絮其中
bxqy,2=背信弃义
bxru,2=不省人事
bxsq,2=不徇私情
bxui,2=八小时
bxux,2=不相上下
bxvv,2=不祥之兆
bxwh,2=不希望
bxwj,2=冰消瓦解
bxwm,2=不相为谋
bxwu,2=不学无术
bxxb,2=不相信
bxxp,2=不信邪
bxyc,2=不需要
bxyg,2=不屑一顾
bxyu,2=不屑于
bxyv,2=不幸言中
bxyy,2=比下有余
bxzs,2=不肖子孙
bybj,2=不一般
bybr,2=不依不饶
bybu,2=百依百顺
byby,2=不阴不阳
byci,2=褒义词
bydh,2=必要的话
bydi,2=比亚迪
bydk,2=不一定
bydt,2=别有洞天
bydu,2=不用多说
bydv,2=不要当真
byef,2=不翼而飞
byet,2=不约而同
byey,2=不言而喻
byez,2=不一而足
byff,2=八月份
byfu,2=不由分说
byfw,2=别有风味
bygd,2=不应该
bygr,2=不用管
byhf,2=必有后福
byhx,2=必有回响
byjb,2=不要紧
byjl,2=不宜久留
byjr,2=拨云见日
bykq,2=不用客气
bylc,2=不予理睬
bylh,2=不亦乐乎
bylm,2=不要脸
bylq,2=饱以老拳
bylv,2=比翼连枝
bynn,2=比翼鸟
byns,2=布宜诺斯艾利斯
byqf,2=不厌其烦
byqi,2=变压器
bysg,2=半夜三更
bytc,2=避孕套
bytd,2=别有天地
bytu,2=白衣天使
byuf,2=比翼双飞
byug,2=毕业生
byuo,2=不要说
byuu,2=布衣蔬食
byvc,2=不义之财
byvi,2=不一致
byvj,2=布衣之交
byvl,2=必由之路
byvp,2=不予置评
bywb,2=不以物喜，不以己悲
bywi,2=不以为耻
bywl,2=不远万里
bywr,2=不以为然
byww,2=本以为
bywx,2=白玉无瑕
bywy,2=不以为意
byxh,2=闭月羞花
byxk,2=必要性
byxl,2=不影响
byxp,2=不用谢
byxu,2=便宜行事
byyc,2=避孕药
byyd,2=不一样的
byyh,2=不亦说乎
byyi,2=不愿意
byyl,2=不遗余力
byyu,2=不亚于
byyx,2=别有用心
byzo,2=白羊座
byzu,2=布依族
byzv,2=不由自主
bzbw,2=不早不晚
bzcl,2=不在此列
bzgi,2=不足挂齿
bzhu,2=不在乎
bzhx,2=不在话下
bzig,2=不赞成
bzih,2=不在场
bzjt,2=不自觉
bzjx,2=不在家
bzku,2=不做亏心事
bzle,2=不早了
bzlj,2=憋足了劲
bzll,2=不自量力
bzlu,2=笔走龙蛇
bzme,2=不怎么
bzmi,2=败走麦城
bzmp,2=八字没一撇
bzmq,2=摆在面前
bzmy,2=不怎么样
bzns,2=抱子弄孙
bzqu,2=不足取
bzqw,2=不在其位
bzrc,2=不遭人妒是庸才
bzrj,2=不自然
bzud,2=不择手段
bzug,2=不吱声
bzui,2=不再是
bzuo,2=不早说
bzvi,2=百足之虫
bzwd,2=不足为外人道
bzwg,2=不足为怪
bzwj,2=不足为据
bzwl,2=不足为虑
bzwp,2=不足为凭
bzwq,2=不足为奇
bzwu,2=包在我身上
bzww,2=不作为
bzwx,2=不足为训
bzxg,2=奔走相告
bzyi,2=不足以
bzym,2=不足与谋
bzyu,2=不在于
bzzd,2=不自在
cahv,2=残奥会
cbbj,2=残兵败将
cbbl,2=寸步不离
cbbr,2=残暴不仁
cbcg,2=从不曾
cbdc,2=猜不到
cbdj,2=残编断简
cbdy,2=词不达意
cbjf,2=猝不及防
cbln,2=错不了
cblv,2=残杯冷炙
cbnx,2=寸步难行
cbqq,2=擦边球
cbrd,2=惨不忍睹
cbui,2=才不是
cbwh,2=慈悲为怀
cbzi,2=错别字
ccbd,2=措辞不当
ccbl,2=寸草不留
ccbq,2=参差不齐
ccbu,2=寸草不生
cccl,2=参差错落
ccdm,2=璀璨夺目
cclu,2=草草了事
ccmm,2=匆匆忙忙
ccpb,2=残次品
ccrn,2=凑凑热闹
ccui,2=草草收场
ccuw,2=草草收尾
ccyh,2=从此以后
cddx,2=从大到小
cdqc,2=财大气粗
cdwl,2=此地无银三百两
cdwy,2=此地无银
cfsl,2=餐风宿露
