aadb,1=嗷嗷待哺
bdjg,1=兵多将广
bdjw,1=不懂就问
bdkh,1=遍地开花
bdkn,1=不大可能
bdlg,1=布达拉宫
bdli,1=背地里
bdll,1=不得了了
bdln,1=不得了
bdmd,1=不达目的
bdnl,1=表达能力
bdqf,1=不得其法
bdqi,1=不定期
bdqs,1=不得其所
bdqx,1=北斗七星
bdru,1=不动如山
bdrx,1=不得人心
bdsh,1=冰冻三尺，非一日之寒
bdsi,1=冰冻三尺
bdsr,1=不打算
bdtg,1=不断提高
bdti,1=拔得头筹
bdus,1=不动声色
bduv,1=不得善终
bdvd,1=不懂装懂
bdvf,1=别当真
bdwl,1=不得无礼
bdwu,1=不断完善
bdxv,1=拔刀相助
bdyi,1=不得已
bdyk,1=不答应
bdyl,1=弊大于利
bdyv,1=步调一致
bdzv,1=不打自招
bebj,1=避而不见
bebt,1=避而不谈
befm,1=不二法门
begj,1=巴尔干
bels,1=白俄罗斯
beuk,1=布尔什维克
bevk,1=巴尔扎克
bevx,1=不二之选
bfbd,1=百分百
bfbi,1=百分比
bfbm,1=不方便
bfbv,1=百发百中
bfcc,1=白发苍苍
bfcu,1=不负此生
bfcz,1=不复存在
bfdx,1=百废待兴
bfhc,1=百分号
bfhu,1=暴发户
bfil,1=不费吹灰之力
bfku,1=白费口舌
bflq,1=白费力气
bfqb,1=不分青红皂白
bfqr,1=不乏其人
bfst,1=不负所托
bfty,1=悲愤填膺
bfuh,1=不负韶华
bfuo,1=比方说
bfvb,1=百分之百
bfvt,1=不法之徒
bfvw,1=不负众望
bfvy,1=百分之一
bfxb,1=不放心
bfxj,1=白费心机
bfxv,1=不分轩轾
bfxw,1=不法行为
bfyu,1=暴风雨
bfyz,1=不费一兵一卒
bfze,1=不负责
bfzl,1=不放在眼里
bfzr,1=不负责任
bgbd,1=半工半读
bgbg,1=不管不顾
bgbi,1=笔耕不辍
bgbj,1=不干不净
bgbl,1=包工包料
bgdh,1=不敢当
bgdj,1=半个多世纪
bgdt,1=不共戴天
bgee,1=不过尔尔
bggt,1=不敢苟同
bgjj,1=百感交集
bgjk,1=白骨精
bgjm,1=不甘寂寞
bgjn,1=不干胶
bgle,1=不管了
bglh,1=不甘落后
bglj,1=八国联军
bgll,1=波光粼粼
bglm,1=不敢掠美
bglu,1=不归路
bgpk,1=不公平
bgqx,1=卑躬屈膝
bgrc,1=不过如此
bgsg,1=闭关锁国
bgsy,1=不管三七二十一
bgtj,1=博古通今
bgty,1=不关痛痒
bgtz,1=包工头
bgui,1=办公室
bguj,1=半个世纪
bgur,1=不甘示弱
bgus,1=兵贵神速
bguy,1=杯弓蛇影
bgvf,1=秉公执法
bgvs,1=半个钟
bgvt,1=半个钟头
bgws,1=秉公无私
bgwu,1=别跟我说
bgwx,1=报告文学
bgxb,1=不甘心
bgxq,1=不感兴趣
bgxu,1=半个小时
bgxx,1=不敢相信
bgyb,1=不敢越雷池一步
bgyq,1=不顾一切
bgys,1=不够意思
bgyt,1=半个月
bgyu,1=不甘于
bgyx,1=不苟言笑
bgzp,1=不攻自破
bgzu,1=闭关自守
bgzv,1=八竿子打不着
bhba,1=不会吧
bhbj,1=饱汉不知饿汉饥
bhbm,1=不慌不忙
bhdc,1=北海道
bhdd,1=变化多端
bhdr,1=不遑多让
bhel,1=不寒而栗
bhes,1=不欢而散
bhge,1=不合格
bhgl,1=别鹤孤鸾
bhgx,1=北回归线
bhhx,1=白花花
bhhy,1=不怀好意
bhil,1=不合常理
bhld,1=不回来
bhlh,1=悲欢离合
bhli,1=白鹤亮翅
bhma,1=巴哈马
bhmc,1=变幻莫测
bhml,1=兵荒马乱
bhpj,1=不患贫而患不均
bhqf,1=百花齐放
bhqu,1=不回去
bhqy,1=不合群
bhre,1=不好惹
bhsj,1=保护伞
bhsr,1=不划算
bhui,1=不合适
bhuo,1=不好说
bhuy,1=不合时宜
bhvn,1=不惑之年
bhvt,1=抱恨终天
bhvy,1=百花争艳
bhwi,1=变幻无常
bhwq,1=变化无穷
bhxk,1=保护性
bhxp,1=冰魂雪魄
bhys,1=不好意思
bibj,1=罢黜百家
bibn,1=不吵不闹
bibv,1=把持不住
biby,1=百吃不厌
bify,1=不成方圆
bigb,1=百尺竿头更进一步
bigh,1=百川归海
bigt,1=百尺竿头
bihl,1=不差毫厘
bijv,1=别出机杼
bijx,1=备尝艰辛
bijy,1=不成敬意
biln,1=拔出萝卜带出泥
bimj,1=鞭长莫及
biqw,1=不成其为
bisl,1=不出所料
bitt,1=不成体统
bivt,1=不吃这一套
biwt,1=不成问题
bixc,1=别出心裁
bixh,1=报仇雪恨
bixw,1=不耻下问
biyr,1=不齿于人
biys,1=不吃羊肉惹身臊
bjbl,1=半斤八两
bjbs,1=不见不散
bjbx,1=不疾不徐
bjbz,1=不骄不躁
bjcs,1=饱经沧桑
bjde,1=不见得
bjdj,1=不计代价
bjdl,1=不记得了
bjdn,1=不减当年
bjdx,1=北京大学
bjel,1=比肩而立
bjev,1=不教而诛
bjey,1=比较而言
bjez,1=不胫而走
bjfi,1=宝剑锋从磨砺出
bjfq,1=不解风情
bjfu,1=饱经风霜
bjgl,1=不见棺材不落泪
bjgx,1=白驹过隙
bjhh,1=保驾护航
bjjv,1=不见经传
bjkl,1=不积跬步无以至千里
bjle,1=不见了
bjlk,1=冰激凌
bjlx,1=背井离乡
bjly,1=保加利亚
bjmd,1=不结盟运动
bjmg,1=不结盟
bjmz,1=不讲面子
bjni,1=比基尼
bjpb,1=保健品
bjqq,1=并驾齐驱
bjqu,1=不计其数
bjqx,1=不计前嫌
bjrc,1=不仅如此
bjrj,1=不尽然
bjrq,1=不近人情
bjru,1=不久人世
bjry,1=不尽人意
bjsc,1=悲剧色彩
bjsl,1=不见森林
bjss,1=不假思索
bjst,1=巴基斯坦
bjtr,1=不见天日
bjty,1=不见兔子不撒鹰
bjuq,1=杯酒释兵权
bjux,1=北京师范大学
bjvd,1=必经之地
bjvj,1=败军之将
bjvl,1=必经之路
bjvm,1=百家争鸣
bjvt,1=不经之谈
bjvx,1=不见真佛不烧香
bjvy,1=不解之缘
bjwg,1=保家卫国
bjwm,1=不尽完美
bjxj,1=不拘小节
bjxt,1=不尽相同
bjyd,1=败局已定
bjyg,1=别具一格
bjyh,1=不久以后
bjyq,1=不讲义气
bjyv,1=不经一事不长一智
bjzt,1=不进则退
bkby,1=百看不厌
bkdd,1=不可多得
bkev,1=不可遏制
bkfr,1=不可否认
bkgl,1=不可估量
bkgr,1=不可告人
bkhq,1=不可或缺
bkhu,1=不堪回首
bkjd,1=不可兼得
bkkj,1=不可开交
bklv,1=不考虑
bkly,1=不可理喻
bkmb,1=百口莫辩
bkmm,1=不可磨灭
bkmv,1=不可名状
bknb,1=不可能吧
bknd,1=不可能的
bkng,1=不可能
bkpf,1=不可偏废
bkpu,1=不靠谱
bkqj,1=不可企及
bkqu,1=百科全书
bkre,1=不堪入耳
bkrm,1=不堪入目
bkry,1=宾客如云
bksm,1=不看僧面看佛面
bksy,1=不可思议
bkty,1=不可同日而语
bkum,1=别开生面
bkux,1=不堪设想
bkvf,1=不堪重负
bkvm,1=不可捉摸
bkxb,1=不开心
bkxw,1=不可信其无
bkxx,1=不可想象
bkyd,1=不可以的
bkyi,1=不可言传
bkyj,1=不堪一击
bkym,1=不可以吗
bkyv,1=不可言状
bkyy,1=不可言喻
bkzc,1=不可造次
blbj,1=波澜不惊
blbl,1=不伦不类
blbo,1=白萝卜
blbq,1=不离不弃
blbr,1=不冷不热
blbx,1=奔流不息
blby,1=表里不一
blcd,1=不理睬
blcj,1=不吝赐教
bldh,1=波罗的海
bldi,1=白兰地
bldm,1=便利店
bldx,1=薄利多销
bleh,1=不劳而获
blfl,1=别浪费了
blfm,1=不露锋芒
blfv,1=拨乱反正
blfw,1=别浪费
blfy,1=不良反应
blgv,1=巴拉圭
blhv,1=博览会
blig,1=百炼成钢
blih,1=鬓乱钗横
blij,1=半路出家
blix,1=兵临城下
bliy,1=碧螺春
bljd,1=兵来将挡
bljj,1=濒临绝境
bljl,1=不良记录
bljp,1=不了解
blju,1=本来就是
bljy,1=八路军
blkd,1=不离开
blkf,1=暴力抗法
blkj,1=不落窠臼
blle,1=不聊了
blll,1=筚路蓝缕
bllv,1=不了了之
blmf,1=爆冷门
blmi,1=菠萝蜜
blmm,1=本来面目
blpb,1=舶来品
blpu,1=步履蹒跚
blqm,1=不留情面
blqq,1=保龄球
blqr,1=壁立千仞
blqu,1=博览群书
blrd,1=病来如山倒
blry,1=表里如一
blse,1=布鲁塞尔
blst,1=巴勒斯坦
blsy,1=壁垒森严
blth,1=白里透红
bltu,1=柏拉图
blty,1=百里挑一
blui,1=比利时
blus,1=不露声色
blvf,1=避雷针
blvj,1=不吝指教
blvk,1=波澜壮阔
blvt,1=别来这一套
blwi,1=逼良为娼
blwj,1=步履维艰
blwu,1=芭蕾舞
blwx,1=包罗万象
blwy,1=别来无恙
blxn,1=半老徐娘
blyd,1=不留余地
blyu,1=不利于
blyw,1=本来以为
blzi,1=不良资产
blzu,1=布朗族
bmbb,1=不明不白
bmeh,1=不谋而合
bmlf,1=八面来风
bmnf,1=班门弄斧
bmnm,1=本命年
bmnu,1=不瞒你说
bmqv,1=不谋其政
bmsg,1=闭门思过
bmuk,1=表面上看
bmvd,1=不毛之地
bmvh,1=不买账
bmvv,1=百忙之中
bmvx,1=不明真相
bmvy,1=笔墨纸砚
bmvz,1=北美洲
bmwf,1=八面威风
bmwv,1=表面文章
bmwz,1=白马王子
bmxi,1=宝马香车
bmxx,1=表面现象
bmyq,1=不名一钱
bmys,1=兵马俑
bmyw,1=不名一文
bmzy,1=不鸣则已
bnbn,1=不男不女
bnby,1=百年不遇
bndu,1=本年度
bnfj,1=不耐烦
bnhh,1=百年好合
bnif,1=百鸟朝凤
bnje,1=不念旧恶
bnki,1=不难看出
bnma,1=巴拿马
bnny,1=百年难遇
bnsy,1=饱暖思淫欲
bnxf,1=笨鸟先飞
bnxx,1=不难想象
bnzb,1=不能自拔
bnzy,1=不能自已
bpbh,1=不怕不识货
bpby,1=不偏不倚
bphg,1=不平衡
bplj,1=杯盘狼藉
bpmu,1=不怕没柴烧
bpyt,1=白跑一趟
bpyw,1=不怕一万
bpyy,1=不怕一万，就怕万一
bqau,1=不欺暗室
bqbi,1=不清不楚
bqbn,1=不屈不挠
bqdk,1=不确定
bqdx,1=不确定性
bqev,1=不期而至
bqey,1=不期而遇
bqgy,1=毕其功于一役
bqiu,1=不清楚
bqlb,1=冰淇淋
bqlv,1=鼻青脸肿
bqmv,1=兵强马壮
bqnu,1=屏气凝神
bqrf,1=不求人
bqrq,1=避其锐气
bqsy,1=版权所有
bqtm,1=包青天
bquj,1=不切实际
bqut,1=搬起石头
bqvq,1=不情之请
bqyg,1=不求有功
bqyj,1=冰清玉洁
bqzl,1=不请自来
bqzy,1=不起作用
brbs,1=勃然变色
brby,1=不仁不义
brde,1=不认得
brdh,1=不然的话
brdn,1=勃然大怒
brfu,1=不容分说
brgh,1=病入膏肓
brhi,1=步人后尘
brhu,1=不容忽视
brhx,1=不入虎穴
brhz,1=不入虎穴，焉得虎子
brlg,1=不容乐观
brmg,1=白日梦
brmq,1=被人卖了还帮着数钱
brqi,1=哺乳期
brtw,1=不如退而结网
brui,1=不认识
brum,1=不辱使命
bruo,1=不如说
brvg,1=步入正轨
brvh,1=不容置喙
brvu,1=不忍直视
brvy,1=不容置疑
brxj,1=兵戎相见
brxk,1=包容性
brxq,1=不容小觑
bryi,1=不容易
bryj,1=不如意事常八九
bryu,1=不容有失
brzd,1=不忍卒读
brzm,1=白日做梦
bsbh,1=半死不活
bsbj,1=百思不解
bsbs,1=不三不四
bsbx,1=不死不休
bshg,1=不思悔改
bsjq,1=不思进取
bskb,1=白色恐怖
bsln,1=巴塞罗那
bsls,1=变色龙
bsny,1=波斯尼亚
bsrq,1=比死人多口气
bsuu,1=不算数
bsvk,1=不速之客
bswj,1=波斯湾
bswy,1=必死无疑
bsxb,1=不死心
btbj,1=半推半就
btbk,1=不吐不快
btbn,1=笨头笨脑
btby,1=不痛不痒
btdj,1=八抬大轿
btdl,1=白头到老
btdr,1=不同的人
btds,1=不太懂
btdu,1=不停的说
btef,1=半途而废
btfa,1=白头发
btfs,1=不同凡俗
btfx,1=不同凡响
bthc,1=不太好
bthl,1=冰糖葫芦
bthy,1=白天黑夜
btid,1=不同程度
btih,1=不提倡
btiu,1=不同程度上
btjm,1=不推荐
btkn,1=不太可能
btle,1=拜托了
btlj,1=不太了解
btlq,1=不听老人言，吃亏在眼前
btlu,1=遍体鳞伤
btlx,1=不太理想
btly,1=不听老人言
btmb,1=不太明白
btmk,1=半透明
btmr,1=悲天悯人
btqi,1=不太清楚
btqr,1=趵突泉
btrl,1=暴跳如雷
btti,1=扁桃体
bttk,1=抱头痛哭
bttw,1=暴殄天物
btuc,1=抱头鼠窜
btuh,1=遍体生寒
btuv,1=半桶水
btvi,1=不同之处
btvj,1=不同政见
btwg,1=白头翁
btxd,1=冰天雪地
btxi,1=不同寻常
btxl,1=白头偕老
btxy,1=波涛汹涌
btyb,1=不提也罢
btyi,1=不同意
btyj,1=悲痛欲绝
btyu,1=不同于
btyy,1=不太一样
buba,1=不是吧
bubl,1=百试百灵
bubs,1=半身不遂
bubu,1=半生不熟
bubx,1=不声不响
buby,1=比上不足，比下有余
bubz,1=比上不足
bufy,1=饱受非议
buhd,1=不识好歹
buhi,1=班师回朝
buhu,1=白山黑水
buhx,1=不识好人心
buid,1=不是吃素的
buiu,1=办事处
buix,1=杯水车薪
buja,1=备受煎熬
bujl,1=不胜酒力
bujx,1=避实就虚
bukh,1=宝山空回
bukl,1=百事可乐
bule,1=不说了
bulm,1=不识庐山真面目
bulu,1=逼上梁山
buml,1=不甚明了
buqf,1=不胜其烦
buqj,1=白手起家
buqx,1=冰释前嫌
burx,1=不胜荣幸
butj,1=不识抬举
buud,1=不是省油的灯
buuj,1=不失时机
buuw,1=不识时务
buvr,1=饱食终日
buvx,1=不时之需
buwm,1=榜上无名
buwt,1=不是问题
buwy,1=必输无疑
buxw,1=博士学位
buyb,1=不说也罢
buyg,1=不是一个
buyj,1=冰山一角
buym,1=榜上有名
buyp,1=不是鱼死，就是网破
buyv,1=背水一战
buyy,1=败事有余
bvbb,1=包治百病
bvbd,1=百战不殆
bvbh,1=百折不回
bvbj,1=不知不觉
bvbk,1=不折不扣
bvbl,1=保质保量
bvbn,1=百折不挠
bvbu,1=百战百胜
bvby,1=半遮半掩
bvdc,1=不知道
bvde,1=不值得
bvdl,1=不知道了
bvdm,1=不知道为什么
bvdn,1=不着调
bveb,1=不战而屈人之兵
bveu,1=不战而胜
bvfa,1=辩证法
bvgz,1=本职工作
bvhd,1=不知好歹
bvhj,1=不着痕迹
bvhx,1=屏住呼吸
bvhz,1=白纸黑字
bvih,1=扮猪吃老虎
bvii,1=不支持
bvjb,1=保证金
bvjl,1=不知就里
bvjq,1=避重就轻
bvjt,1=不知进退
bvkf,1=不置可否
bvli,1=不知廉耻
bvmk,1=不知名
bvnt,1=不撞南墙不回头
bvqe,1=不知其二
bvqi,1=保质期
bvqk,1=不知情
bvqm,1=不值钱
bvqr,1=不知其所以然
bvqt,1=不正确
bvqu,1=不知趣
bvqv,1=不知轻重
bvqx,1=不知去向
bvrf,1=班主任
bvrg,1=宾至如归
bvrw,1=不知肉味
bvsc,1=不知所措
bvsv,1=不知所终
bvsy,1=不知所云
bvtg,1=不折腾
bvth,1=不知天高地厚
bvtk,1=不中听
bvui,1=不只是
bvuq,1=不知深浅
bvus,1=不知生死
bvvd,1=必争之地
bvve,1=标志着
bvvf,1=不正之风
bvvj,1=伯仲之间
bvvv,1=不治之症
bvvz,1=不知者不罪
bvwh,1=不知为何
bvwv,1=不知为不知
bvxi,1=不知羞耻
bvxk,1=标志性
bvyb,1=不至于吧
bvyc,1=不止一次
bvyl,1=报之以李
bvyt,1=不值一提
bvyu,1=不值一哂
bvyv,1=白纸一张
bvyw,1=不值一文
bvyy,1=秉烛夜游
bvzv,1=敝帚自珍
bwbh,1=不温不火
bwbj,1=百闻不如一见
bwbw,1=不闻不问
bwcx,1=不枉此行
bwdk,1=不稳定
bwgx,1=不无关系
bwhu,1=不外乎
bwiw,1=别无长物
bwjj,1=百无禁忌
bwjy,1=保外就医
bwkv,1=不问可知
bwqr,1=包围圈
bwqb,1=不畏强暴
bwqj,1=博闻强记
bwqu,1=不畏权势
bwqv,1=博闻强识
bwrv,1=不为人知
bwsd,1=不为所动
bwsq,1=别无所求
bwtf,1=别无他法
bwtt,1=别无他途
bwtw,1=别无他物
bwvq,1=比武招亲
bwvy,1=不务正业
bwwa,1=布娃娃
bwwq,1=不为瓦全
bwwy,1=不为五斗米折腰
bwxz,1=别无选择
bwyg,1=霸王硬上弓
bwyu,1=百无一用是书生
bwyy,1=百无一用
bxaa,1=白雪皑皑
bxba,1=不行吧
bxbd,1=不许百姓点灯
bxbf,1=不修边幅
bxbj,1=不徐不疾
bxbk,1=白血病
bxbt,1=本乡本土
bxby,1=半信半疑
bxcm,1=冰雪聪明
bxcx,1=不虚此行
bxdc,1=博学多才
bxde,1=不晓得
bxdh,1=彪形大汉
bxdu,1=不想多说
bxdx,1=碧血丹心
bxeg,1=败兴而归
bxfa,1=变戏法
bxfu,1=不相符
bxgb,1=不惜工本
bxgd,1=兵行诡道
bxgh,1=八仙过海
bxgr,1=不习惯
bxgv,1=白雪公主
bxhj,1=不稀罕
bxhr,1=不喜欢
bxhx,1=不像话
bxif,1=不相称
bxiu,1=笔下超生
bxjh,1=抱薪救火
bxjj,1=悲喜交集
bxjp,1=步行街
bxle,1=不行了
bxlq,1=必先利其器
bxlw,1=本小利微
bxly,1=标新立异
bxma,1=不行吗
bxni,1=不像你
bxnu,1=屏息凝神
bxny,1=本性难移
bxpb,1=必需品
bxqi,1=保修期
bxqj,1=保险起见
bxqv,1=败絮其中
bxqy,1=背信弃义
bxru,1=不省人事
bxsq,1=不徇私情
bxui,1=八小时
bxux,1=不相上下
bxvv,1=不祥之兆
bxwh,1=不希望
bxwj,1=冰消瓦解
bxwm,1=不相为谋
bxwu,1=不学无术
bxxb,1=不相信
bxxp,1=不信邪
bxyc,1=不需要
bxyg,1=不屑一顾
bxyu,1=不屑于
bxyv,1=不幸言中
bxyy,1=比下有余
bxzs,1=不肖子孙
bybj,1=不一般
bybr,1=不依不饶
bybu,1=百依百顺
byby,1=不阴不阳
byci,1=褒义词
bydh,1=必要的话
bydi,1=比亚迪
bydk,1=不一定
bydt,1=别有洞天
bydu,1=不用多说
bydv,1=不要当真
byef,1=不翼而飞
byet,1=不约而同
byey,1=不言而喻
byez,1=不一而足
byff,1=八月份
byfu,1=不由分说
byfw,1=别有风味
bygd,1=不应该
bygr,1=不用管
byhf,1=必有后福
byhx,1=必有回响
byjb,1=不要紧
byjl,1=不宜久留
byjr,1=拨云见日
bykq,1=不用客气
bylc,1=不予理睬
bylh,1=不亦乐乎
bylm,1=不要脸
bylq,1=饱以老拳
bylv,1=比翼连枝
bynn,1=比翼鸟
byns,1=布宜诺斯艾利斯
byqf,1=不厌其烦
byqi,1=变压器
bysg,1=半夜三更
bytc,1=避孕套
bytd,1=别有天地
bytu,1=白衣天使
byuf,1=比翼双飞
byug,1=毕业生
byuo,1=不要说
byuu,1=布衣蔬食
byvc,1=不义之财
byvi,1=不一致
byvj,1=布衣之交
byvl,1=必由之路
byvp,1=不予置评
bywb,1=不以物喜，不以己悲
bywi,1=不以为耻
bywl,1=不远万里
bywr,1=不以为然
byww,1=本以为
bywx,1=白玉无瑕
bywy,1=不以为意
byxh,1=闭月羞花
byxk,1=必要性
byxl,1=不影响
byxp,1=不用谢
byxu,1=便宜行事
byyc,1=避孕药
byyd,1=不一样的
byyh,1=不亦说乎
byyi,1=不愿意
byyl,1=不遗余力
byyu,1=不亚于
byyx,1=别有用心
byzo,1=白羊座
byzu,1=布依族
byzv,1=不由自主
bzbw,1=不早不晚
bzcl,1=不在此列
bzgi,1=不足挂齿
bzhu,1=不在乎
bzhx,1=不在话下
bzig,1=不赞成
bzih,1=不在场
bzjt,1=不自觉
bzjx,1=不在家
bzku,1=不做亏心事
bzle,1=不早了
bzlj,1=憋足了劲
bzll,1=不自量力
bzlu,1=笔走龙蛇
bzme,1=不怎么
bzmi,1=败走麦城
bzmp,1=八字没一撇
bzmq,1=摆在面前
bzmy,1=不怎么样
bzns,1=抱子弄孙
bzqu,1=不足取
bzqw,1=不在其位
bzrc,1=不遭人妒是庸才
bzrj,1=不自然
bzud,1=不择手段
bzug,1=不吱声
bzui,1=不再是
bzuo,1=不早说
bzvi,1=百足之虫
bzwd,1=不足为外人道
bzwg,1=不足为怪
bzwj,1=不足为据
bzwl,1=不足为虑
bzwp,1=不足为凭
bzwq,1=不足为奇
bzwu,1=包在我身上
bzww,1=不作为
bzwx,1=不足为训
bzxg,1=奔走相告
bzyi,1=不足以
bzym,1=不足与谋
bzyu,1=不在于
bzzd,1=不自在
cahv,1=残奥会
cbbj,1=残兵败将
cbbl,1=寸步不离
cbbr,1=残暴不仁
cbcg,1=从不曾
cbdc,1=猜不到
cbdj,1=残编断简
cbdy,1=词不达意
cbjf,1=猝不及防
cbln,1=错不了
cblv,1=残杯冷炙
cbnx,1=寸步难行
cbqq,1=擦边球
cbrd,1=惨不忍睹
cbui,1=才不是
cbwh,1=慈悲为怀
cbzi,1=错别字
ccbd,1=措辞不当
ccbl,1=寸草不留
ccbq,1=参差不齐
ccbu,1=寸草不生
cccl,1=参差错落
ccdm,1=璀璨夺目
cclu,1=草草了事
ccmm,1=匆匆忙忙
ccpb,1=残次品
ccrn,1=凑凑热闹
ccui,1=草草收场
ccuw,1=草草收尾
ccyh,1=从此以后
cddx,1=从大到小
cdqc,1=财大气粗
cdwl,1=此地无银三百两
cdwy,1=此地无银
cfsl,1=餐风宿露
