aaba,1=阿爸
anho,1=黯
anhs,1=暗红
anhv,1=安徽
anhw,1=暗黑
ania,1=安插
anic,1=暗潮
anih,1=暗娼
anil,1=暗疮
aniu,1=暗处
aniy,1=鹌鹑
anji,1=按季
anjk,1=安静
anjm,1=按键
anjn,1=暗礁
anjp,1=按揭
anjr,1=案卷
anju,1=安居
anjx,1=安家
ankd,1=唵
ankh,1=安康
ankv,1=暗亏
anla,1=安拉
anle,1=安乐
anli,1=案例
anlk,1=按铃
anlm,1=暗恋
anlq,1=暗流
anlv,1=暗绿
anma,1=鞍马
anmb,1=安民
anmf,1=暗门
anmm,1=安眠
anmn,1=桉
anmo,1=按摩
anna,1=按捺
anng,1=安能
annk,1=安宁
annm,1=按年
annq,1=按钮
anon,1=胺
anoo,1=暗
anpd,1=安排
anpw,1=安培
anqb,1=安寝
anqg,1=犴
anqi,1=按期
anqk,1=案情
anqn,1=氨
anqr,1=安全
anrd,1=俺
anri,1=按日
anrj,1=安然
anrm,1=盦
anrz,1=按揉
anso,1=暗锁
ansr,1=暗算
antd,1=安泰
antj,1=暗探
antn,1=垵
anto,1=安妥
antz,1=案头
anua,1=暗杀
anuc,1=暗哨
anue,1=安设
anuf,1=安神
anug,1=安生
anuh,1=岸上
anui,1=暗示
anuj,1=鞍山
anuo,1=按说
anuu,1=谙熟
anuv,1=安睡
anvc,1=按照
anve,1=按着
anvi,1=安置
anvl,1=安装
anvo,1=安卓
anvs,1=暗中
anvu,1=按住
anwf,1=安稳
anww,1=安慰
anxb,1=安心
anxi,1=安息
anxl,1=安详
anxm,1=暗线
anxn,1=暗笑
anxx,1=按下
anya,1=按压
anye,1=暗夜
anyi,1=安逸
anyk,1=暗影
anyo,1=谙
anyt,1=按月
anyu,1=暗语
anzh,1=安葬
anzi,1=案子
anzo,1=安坐
aoal,1=奡
aoan,1=傲岸
aoao,1=嗷嗷
aobx,1=翱
aocc,1=凹槽
aodc,1=熬到
aodd,1=澳
aodi,1=奥迪
aoed,1=隩
aofa,1=鳌
aofe,1=聱
aofh,1=熬
aofi,1=螯
aofj,1=鏊
aofl,1=拗
aofm,1=骜
aofq,1=獒
aofw,1=敖
aogj,1=鏖
aogo,1=熬过
aogu,1=傲骨
aogw,1=廒
aohf,1=凹痕
aohv,1=懊悔
aoig,1=熬成
aokw,1=嗷
aokz,1=拗口
aola,1=凹
aomf,1=澳门
aomi,1=奥秘
aomj,1=傲慢
aomn,1=奥妙
aonc,1=懊恼
aonm,1=媪
aopd,1=奥
aopy,1=袄
aoqi,1=傲气
aorf,1=傲人
aorw,1=傲
aosh,1=懊丧
aoth,1=熬汤
aotl,1=坳
aotu,1=凹凸
aoui,1=傲视
aouu,1=奥数
aovi,1=熬制
aovj,1=鏖战
aovu,1=熬煮
aovz,1=澳洲
aoww,1=璈
aoxd,1=懊
aoxl,1=翱翔
aoxm,1=凹陷
aoxx,1=凹下
aoyc,1=熬药
aoye,1=熬夜
aoyi,1=奥义
aoyr,1=澳元
aoyy,1=奥运
aoyz,1=遨游
aozw,1=遨
apld,1=安贫乐道
aqbv,1=哀其不争
aqdy,1=安全第一
aqgj,1=安全感
aqhd,1=爱琴海
aqju,1=安全局
aqmh,1=鞍前马后
aqpm,1=爱情片
aqrm,1=爱钱如命
artl,1=傲然挺立
artu,1=安如泰山
arus,1=黯然失色
aruu,1=黯然神伤
arwy,1=安然无恙
arxh,1=黯然销魂
aryl,1=傲然屹立
asbj,1=阿塞拜疆
asey,1=埃塞俄比亚
asjm,1=爱斯基摩
aska,1=奥斯卡
aslu,1=奥斯陆
aspl,1=阿司匹林
asqb,1=暗送秋波
atbp,1=凹凸不平
atjk,1=凹透镜
atkq,1=暗通款曲
atsj,1=按图索骥
atug,1=安徒生
atyj,1=哀痛欲绝
auaj,1=碍手碍脚
aubu,1=爱说不说
aukb,1=昂首阔步
aulm,1=安身立命
auma,1=阿诗玛
auny,1=爱沙尼亚
auqx,1=傲视群雄
autq,1=唉声叹气
autx,1=昂首挺胸
auvd,1=安身之地
auvi,1=安身之处
auvl,1=安史之乱
avbj,1=安装版
avew,1=安枕而卧
avff,1=安知非福
avms,1=暗中摸索
avrs,1=安之若素
avwy,1=安枕无忧
avyu,1=爱之欲其生
awhv,1=奥委会
awjw,1=爱屋及乌
awtr,1=暗无天日
axbx,1=爱信不信
axcz,1=暗箱操作
axfp,1=按需分配
axhp,1=按下葫芦起来瓢
axjl,1=爱新觉罗
axuy,1=暗香疏影
axym,1=爱惜羽毛
ayhv,1=奥运会
ayst,1=爱因斯坦
ayvv,1=安营扎寨
ayxv,1=安于现状
azbk,1=艾滋病
azfm,1=爱憎分明
azpc,1=腌臜泼才
baab,1=鲃
baad,1=鲅
baba,1=爸爸
babb,1=疤
babc,1=八宝
babd,1=八百
babi,1=芭比
babk,1=把柄
bacb,1=芭
bacc,1=拔草
bacd,1=菝
badc,1=霸道
badn,1=拔掉
bado,1=灞
badz,1=巴豆
baeb,1=岜
bael,1=北爱尔兰
bafb,1=扒
bafd,1=捌
bafg,1=把风
bafh,1=八方
bagb,1=靶
bagc,1=拔高
bagd,1=魃
bage,1=八个
bagl,1=扒光
bagr,1=把关
bags,1=罢工
bagu,1=八股
bagx,1=八卦
bahe,1=拔河
bahf,1=疤痕
bahl,1=八荒
bahu,1=跋扈
bahx,1=不安好心
baib,1=蚆
baie,1=扒车
baig,1=八成
baih,1=靶场
baii,1=把持
baiu,1=拔出
bajb,1=钯
baji,1=吧唧
bajm,1=拔尖
bajn,1=八角
bajp,1=巴结
bakb,1=叭
bake,1=罢课
baks,1=把控
bala,1=扒拉
balb,1=巴林
bale,1=罢了
bali,1=巴黎
balu,1=八路
balw,1=芭蕾
bama,1=爸妈
bamb,1=朳
bamc,1=拔毛
bamd,1=把脉
bamf,1=把门
bamm,1=罢免
band,1=妭
baod,1=胈
bapi,1=扒皮
bapn,1=八
baqi,1=霸气
baqm,1=八千
baqr,1=霸权
basd,1=罢赛
basl,1=巴
bass,1=罢
basv,1=八岁
batd,1=吧台
batm,1=八天
batr,1=坝
batv,1=拔腿
baue,1=跋涉
baui,1=八十
bauu,1=巴蜀
bauz,1=把手
bavb,1=笆
bave,1=八折
bavh,1=巴掌
bavj,1=霸占
bavu,1=霸主
bavv,1=巴
bawf,1=把稳
bawh,1=霸王
bawj,1=把玩
bawo,1=把握
baxb,1=靶心
baxi,1=巴西
baxm,1=八仙
baxq,1=罢休
baxx,1=拔下
baxy,1=八旬
baya,1=拔牙
bayb,1=羓
baye,1=霸业
bayi,1=八一
bayo,1=霸
bayt,1=八月
bazd,1=跋
bazi,1=八字
bazu,1=保安族
bbab,1=鬓
bbbb,1=宾
bbbd,1=不比不知道
bbbe,1=邠
bbbi,1=并不比
bbbk,1=不卑不亢
bbdb,1=殡
bbdc,1=办不到
bbde,1=巴不得
bbdn,1=百般刁难
bbdr,1=濒
bbds,1=巴巴多斯
bbdv,1=不必当真
bbdy,1=逼不得已
bbeu,1=豳
bbfb,1=摈
bbff,1=缤纷
bbgb,1=髌
bbgr,1=宾馆
bbhd,1=滨海
bbhe,1=滨河
bbig,1=办不成
bbiy,1=百步穿杨
bbjb,1=步步紧逼
bbjl,1=滨江
bbjn,1=鬓角
bbju,1=比比皆是
bbjx,1=步步惊心
bbke,1=宾客
bbko,1=不包括
bbku,1=必不可少
bblb,1=濒临
bbli,1=宾利
bbll,1=斑驳陆离
bblm,1=殡殓
bblx,1=便把令来行
bbly,1=巴比伦
bbmb,1=槟
bbmc,1=鬓毛
bbmm,1=爸爸妈妈
bbmp,1=彬
bbob,1=膑
bbpg,1=宾朋
bbpp,1=白白胖胖
bbqi,1=摈弃
bbqq,1=北半球
bbrb,1=傧
bbrd,1=兵败如山倒
bbsb,1=缤
bbth,1=棒棒糖
bbtt,1=蹦蹦跳跳
bbuh,1=比不上
bbui,1=并不是
bbum,1=帮不上忙
bbuu,1=并不是说
bbvd,1=并不知道
bbvj,1=八拜之交
bbvu,1=宾主
bbvw,1=不辨真伪
bbvy,1=不白之冤
bbvz,1=八宝粥
bbwd,1=玢
bbwj,1=北部湾
bbwn,1=被逼无奈
bbwv,1=斌
bbww,1=濒危
bbwx,1=白璧微瑕
bbwy,1=步步为营
bbxr,1=兵不血刃
bbxy,1=并不需要
bbyc,1=不必要
bbyd,1=并不一定
bbyh,1=北冰洋
bbyl,1=彬彬有礼
bbyu,1=宾语
bbyv,1=兵不厌诈
bbyy,1=巴布亚新几内亚
bbzh,1=殡葬
bbzi,1=半辈子
bbzy,1=不必在意
bcan,1=保安
bcas,1=鲍
bcbc,1=宝宝
bcbd,1=刨
bcbf,1=保本
bcbi,1=包庇
bcbj,1=包办
bcbk,1=刨冰
bcbm,1=褒贬
bcbn,1=报表
bcbs,1=包
bcbw,1=宝贝
bcby,1=宝
bccc,1=薄
bccd,1=包菜
bcch,1=爆仓
bccj,1=饱餐
bccm,1=葆
bcco,1=报错
bccs,1=苞
bccy,1=保存
bcda,1=报答
bcdc,1=报道
bcdi,1=保底
bcdj,1=保单
bcdk,1=保定
bcdm,1=宝典
bcdp,1=暴跌
bcds,1=暴动
bcdu,1=报毒
bceb,1=不辞而别
bcen,1=报恩
bcfa,1=爆发
bcfg,1=暴风
bcfh,1=包房
bcfs,1=抱
bcfu,1=报复
bcfw,1=报废
bcfy,1=不测风云
bcgc,1=报告
bcgd,1=宝盖
bcge,1=饱嗝
bcgj,1=包干
bcgl,1=曝光
bcgm,1=本草纲目
bcgo,1=包裹
bcgr,1=保管
bcgs,1=包公
bcgu,1=包谷
bcgv,1=宝贵
bche,1=饱和
bchf,1=抱恨
bchj,1=包含
bchr,1=包换
bchs,1=炮
bchu,1=保护
bchx,1=包藏祸心
bcia,1=宝刹
bcic,1=爆炒
bcie,1=包车
bcih,1=包场
bcii,1=保持
bciu,1=爆出
bciz,1=报酬
bcjb,1=抱紧
bcjd,1=不存芥蒂
bcji,1=宝鸡
bcjk,1=报警
bcjl,1=褒奖
bcjm,1=保健
bcjp,1=保洁
bcju,1=保举
bcjx,1=报价
bcjy,1=暴君
bckc,1=报考
bcke,1=剥壳
bcki,1=病从口入，祸从口出
bckj,1=报刊
bcko,1=包括
bckr,1=病从口入
bcks,1=暴恐
bcku,1=宝库
bcle,1=报了
bclg,1=爆冷
bcli,1=暴力
bclj,1=包揽
bclk,1=不辞劳苦
bcln,1=爆料
bclo,1=包罗
bclp,1=爆裂
bclq,1=保留
bclr,1=暴乱
bclu,1=暴露
bclw,1=堡垒
bcma,1=宝马
bcmb,1=百辞莫辩
bcmi,1=保密
bcmj,1=饱满
bcmk,1=报名
bcmo,1=薄膜
bcms,1=枹
bcmu,1=保姆
bcmw,1=胞妹
bcnr,1=保暖
bcnt,1=暴虐
bcnu,1=暴怒
bcos,1=胞
bcou,1=曝
bcpg,1=爆棚
bcpi,1=报批
bcpj,1=报盘
bcpm,1=薄片
bcpn,1=包票
bcpo,1=爆破
bcpw,1=包赔
bcqi,1=抱起
bcqk,1=报请
bcqm,1=抱歉
bcqr,1=保全
bcqu,1=抱屈
bcrf,1=保人
bcrh,1=煲
bcrm,1=保
bcrs,1=包容
bcrt,1=堡
bcsh,1=报丧
bcsi,1=暴死
bcss,1=报送
bcta,1=宝塔
bctd,1=爆胎
bcth,1=煲汤
bctj,1=报摊
bctk,1=报亭
bctn,1=暴跳
bctr,1=抱团
bctu,1=暴徒
bctz,1=包头
bcud,1=暴晒
bcue,1=报社
bcuf,1=报审
bcuh,1=报上
bcui,1=宝石
bcuj,1=宝山
bcuq,1=抱残守缺
bcus,1=饱
bcuu,1=报数
bcuv,1=报税
bcuz,1=保守
bcva,1=爆炸
bced,1=剥
bcve,1=抱着
bcvf,1=抱枕
bcvg,1=保证
bcvh,1=保障
bcvi,1=报纸
bcvj,1=报站
bcvl,1=包装
bcvs,1=保重
bcvu,1=抱住
bcvy,1=保准
bcvz,1=煲粥
bcwf,1=保温
bcwn,1=博茨瓦纳
bcwu,1=宝物
bcww,1=包围
bcwy,1=褒
bcxb,1=报信
bcxi,1=报喜
bcxk,1=暴行
bcxl,1=包厢
bcxm,1=保险
bcxn,1=报销
bcxq,1=保修
bcxs,1=胞兄
bcxt,1=暴雪
bcxx,1=包下
bcya,1=龅牙
bcye,1=报业
bcyh,1=保养
bcyi,1=报以
bcyk,1=报应
bcyr,1=抱怨
bcys,1=雹
bcyt,1=包月
bcyu,1=暴雨
bcyz,1=保佑
bcza,1=包扎
bczc,1=暴躁
bczg,1=暴增
bczh,1=宝藏
bczi,1=包子
bczo,1=宝座
bczs,1=孢
bczu,1=包租
bdab,1=百
bdbc,1=百宝
bdbd,1=拜拜
bdbi,1=败笔
bdbj,1=白班
bdbk,1=百病
bdbl,1=宝刀不老
bdbm,1=百变
bdbp,1=拜别
bdbq,1=百毒不侵
bdbt,1=不得不低头
bdbu,1=摆布
bdbw,1=百倍
bdbx,1=不大不小
bdby,1=百读不厌
bdcc,1=百草
bdcd,1=白菜
bdcu,1=白醋
bdda,1=白搭
bddc,1=拜倒
bddd,1=白带
bddi,1=白底
bddj,1=不单单
bddk,1=白丁
bddm,1=白点
bdds,1=摆动
bddt,1=不登大雅之堂
bddu,1=百度
bdei,1=背道而驰
bdeq,1=拔地而起
bdev,1=不得而知
bdfa,1=白发
bdff,1=百分
bdfg,1=白癜风
bdfh,1=拜访
bdfj,1=白饭
bdfo,1=拜佛
bdfs,1=摆
bdfu,1=捭
bdfw,1=白费
bdge,1=白鸽
bdgj,1=白干
bdgl,1=白光
bdgo,1=白果
bdgr,1=百官
bdgs,1=白宫
bdgu,1=白骨
bdgw,1=败给
bdhc,1=摆好
bdhe,1=百合
bdhk,1=败坏
bdho,1=百货
bdhs,1=不得好死
bdhu,1=白虎
bdhv,1=拜会
bdhx,1=白话
bdih,1=不到长城非好汉
bdii,1=白痴
bdij,1=不动产
bdir,1=百川
bdiu,1=摆出
bdjb,1=白金
bdjg,1=兵多将广
bdji,1=败绩
bdjk,1=白净
bdjm,1=摆件
bdjq,1=白酒
bdjr,1=白卷
bdju,1=败局
bdjw,1=不懂就问
bdjx,1=败家
bdjy,1=败军
bdkd,1=掰开
bdke,1=百科
bdkh,1=遍地开花
bdkn,1=不大可能
bdko,1=摆阔
bdkr,1=呗
bdkw,1=败
bdle,1=白了
bdlg,1=布达拉宫
bdli,1=背地里
bdlk,1=白领
bdll,1=不得了了
bdlm,1=白脸
bdln,1=不得了
bdlo,1=败落
bdlu,1=败露
bdlw,1=败类
bdma,1=白马
bdmb,1=柏
bdmc,1=白猫
bdmd,1=不达目的
bdmh,1=白忙
bdmi,1=百米
bdmj,1=摆满
bdmk,1=摆明
bdmm,1=白面
bdmn,1=白描
bdmo,1=白沫
bdnf,1=白嫩
bdnl,1=表达能力
bdnm,1=百年
bdnn,1=百鸟
bdns,1=摆弄
bdpk,1=摆平
bdpo,1=白
bdpu,1=摆谱
bdqf,1=不得其法
bdqi,1=不定期
bdql,1=百强
bdqs,1=不得其所
bdqx,1=北斗七星
bdrb,1=伯
bdrf,1=白人
bdri,1=白日
bdru,1=不动如山
bdrx,1=不得人心
bdrz,1=白肉
bdse,1=白色
bdsh,1=冰冻三尺，非一日之寒
bdsi,1=冰冻三尺
bdsr,1=不打算
bdss,1=白送
bdsu,1=败诉
bdsv,1=百岁
bdtd,1=百态
bdtg,1=不断提高
bdth,1=白糖
bdti,1=拔得头筹
bdtj,1=摆摊
bdtm,1=白天
bdtn,1=白条
bdto,1=拜托
bdtu,1=白兔
bdtv,1=败退
bdtz,1=白头
bdua,1=白纱
bdue,1=摆设
bduf,1=拜
bduh,1=摆上
bdui,1=拜师
bduj,1=拜山
bduo,1=白说
bdus,1=不动声色
bduu,1=掰
bduv,1=不得善终
bduz,1=拜寿
bdvc,1=百兆
bdvd,1=不懂装懂
bdve,1=摆着
bdvf,1=别当真
bdvg,1=摆正
bdvh,1=败仗
bdvi,1=白纸
bdvz,1=白昼
bdwj,1=百万
bdwl,1=不得无礼
bdwu,1=不断完善
bdww,1=百位
bdxi,1=白皙
bdxk,1=百姓
bdxm,1=白线
bdxp,1=拜谢
bdxt,1=白雪
bdxv,1=拔刀相助
bdyb,1=白银
bdyc,1=白药
bdye,1=百业
bdyh,1=白羊
bdyi,1=不得已
bdyj,1=白眼
bdyk,1=不答应
bdyl,1=弊大于利
bdyr,1=百元
bdyu,1=白玉
bdyv,1=步调一致
bdyy,1=白云
bdzd,1=摆在
bdzi,1=白字
bdzo,1=白做
bdzu,1=白族
bdzv,1=不打自招
bdzz,1=败走
bebj,1=避而不见
bebt,1=避而不谈
befm,1=不二法门
begj,1=巴尔干
bels,1=白俄罗斯
beuk,1=布尔什维克
bevk,1=巴尔扎克
bevx,1=不二之选
bfaa,1=本
bfan,1=本案
bfbc,1=本报
bfbd,1=百分百
bfbf,1=笨笨
bfbi,1=百分比
bfbm,1=不方便
bfbn,1=本表
bfbo,1=奔波
bfbt,1=坌
bfbu,1=本部
bfbv,1=百发百中
bfcb,1=苯
bfcc,1=白发苍苍
bfci,1=本次
bfcu,1=不负此生
bfcz,1=不复存在
bfdc,1=奔
bfdh,1=本当
bfdi,1=本地
bfdj,1=笨蛋
bfdx,1=百废待兴
bfff,1=本分
bffh,1=奔放
bffu,1=奔赴
bfgd,1=本该
bfgo,1=本国
bfhc,1=百分号
bfhh,1=本行
bfhu,1=暴发户
bfih,1=本场
bfii,1=奔驰
bfil,1=不费吹灰之力
bfiu,1=奔出
bfjb,1=本金
bfjc,1=锛
bfji,1=本季
bfjp,1=本届
bfjq,1=本就
bfjx,1=本家
bfke,1=本科
bfkj,1=本刊
bfku,1=白费口舌
bfld,1=本来
bflk,1=本领
bflq,1=白费力气
bflw,1=本类
bfly,1=本轮
bfmf,1=本门
bfmk,1=本名
bfng,1=本能
bfnm,1=本年
bfnn,1=笨鸟
bfpc,1=奔跑
bfpn,1=本票
bfqb,1=不分青红皂白
bfqi,1=本期
bfqm,1=本钱
bfqr,1=不乏其人
bfrc,1=倴
bfrf,1=本人
bfri,1=本日
bfse,1=本色
bfsh,1=奔丧
bfst,1=不负所托
bftc,1=奔逃
bftd,1=坋
bftg,1=奔腾
bfti,1=本体
bftm,1=本田
bftn,1=本条
bftu,1=本土
bfty,1=悲愤填膺
bfuf,1=本身
bfug,1=本省
bfuh,1=不负韶华
bfui,1=本事
bfuo,1=比方说
bfur,1=贲
bfvb,1=百分之百
bfve,1=本着
bfvi,1=本质
bfvj,1=本站
bfvo,1=笨拙
bfvs,1=笨重
bfvt,1=不法之徒
bfvu,1=笨猪
bfvw,1=不负众望
bfvy,1=百分之一
bfvz,1=本周
bfwf,1=本文
bfwu,1=本无
bfww,1=本位
bfxb,1=不放心
bfxi,1=本息
bfxj,1=白费心机
bfxk,1=本性
bfxl,1=本想
bfxn,1=本校
bfxv,1=不分轩轾
bfxw,1=不法行为
bfye,1=本页
bfyi,1=本意
bfyk,1=本应
bfyr,1=本源
bfyt,1=本月
bfyu,1=暴风雨
bfyz,1=不费一兵一卒
bfze,1=不负责
bfzi,1=本子
bfzl,1=不放在眼里
bfzr,1=不负责任
bfzz,1=奔走
bgbd,1=半工半读
bgbg,1=不管不顾
bgbi,1=笔耕不辍
bgbj,1=不干不净
bgbl,1=包工包料
bgbu,1=蚌埠
bgby,1=甭
bgda,1=蹦跶
bgdd,1=绷带
bgdh,1=不敢当
bgdi,1=蹦迪
bgdj,1=半个多世纪
bgdr,1=绷断
bgdt,1=不共戴天
bgee,1=不过尔尔
bgeo,1=崩
bgfa,1=迸发
bggr,1=甭管
bggt,1=不敢苟同
bghk,1=崩坏
bgif,1=蚌
bgil,1=蹦床
bgjb,1=绷紧
bgji,1=蹦极
bgjj,1=百感交集
bgjk,1=白骨精
bgjm,1=不甘寂寞
bgjn,1=不干胶
bgjo,1=镚
bgko,1=嘣
bgkv,1=崩溃
bgle,1=不管了
bglh,1=不甘落后
bglj,1=八国联军
bgll,1=波光粼粼
bglm,1=不敢掠美
bglu,1=不归路
bgpf,1=祊
bgpj,1=崩盘
bgpk,1=不公平
bgqx,1=卑躬屈膝
bgrc,1=不过如此
bgsg,1=闭关锁国
bgso,1=绷
bgsy,1=不管三七二十一
bgta,1=崩塌
bgtj,1=博古通今
bgty,1=不关痛痒
bgtz,1=包工头
bgue,1=迸射
bgui,1=办公室
bguj,1=半个世纪
bguo,1=甭说
bgur,1=不甘示弱
bgus,1=兵贵神速
bguu,1=泵
bguw,1=甏
bguy,1=杯弓蛇影
bgve,1=绷着
bgvf,1=秉公执法
bgvi,1=绷直
bgvs,1=半个钟
bgvt,1=半个钟头
bgwl,1=琫
bgws,1=秉公无私
bgwu,1=别跟我说
bgwx,1=报告文学
bgxb,1=不甘心
bgxl,1=甭想
bgxq,1=不感兴趣
bgxu,1=半个小时
bgxx,1=不敢相信
bgyb,1=不敢越雷池一步
bgyq,1=不顾一切
bgys,1=不够意思
bgyt,1=半个月
bgyu,1=不甘于
bgyx,1=不苟言笑
bgzk,1=迸
bgzo,1=蹦
bgzp,1=不攻自破
bgzu,1=闭关自守
bgzv,1=八竿子打不着
bhba,1=不会吧
bhbh,1=帮帮
bhbj,1=饱汉不知饿汉饥
bhbm,1=不慌不忙
bhcf,1=蒡
bhda,1=棒打
bhdb,1=浜
bhdc,1=北海道
bhdd,1=变化多端
bhdj,1=榜单
bhdk,1=绑定
bhdr,1=不遑多让
bhel,1=不寒而栗
bhes,1=不欢而散
bhfe,1=邦
bhff,1=搒
bhfj,1=帮
bhfw,1=绑匪
bhge,1=不合格
bhgl,1=别鹤孤鸾
bhgs,1=帮工
bhgv,1=帮规
bhgx,1=北回归线
bhhe,1=棒喝
bhhv,1=帮会
bhhx,1=白花花
bhhy,1=不怀好意
bhif,1=帮衬
bhig,1=磅秤
bhil,1=不合常理
bhiv,1=棒槌
bhjb,1=绑紧
bhjf,1=镑
bhji,1=棒极
bhjn,1=邦交
bhjx,1=绑架
bhke,1=蚌壳
bhlc,1=绑牢
bhld,1=不回来
bhle,1=帮了
bhlh,1=悲欢离合
bhli,1=白鹤亮翅
bhma,1=巴哈马
bhmc,1=变幻莫测
bhme,1=梆
bhmf,1=榜
bhmh,1=帮忙
bhmk,1=棓
bhml,1=兵荒马乱
bhof,1=膀
bhpd,1=帮派
bhpj,1=不患贫而患不均
bhpn,1=绑票
bhqf,1=百花齐放
bhql,1=帮腔
bhqq,1=棒球
bhqu,1=不回去
